date,maxTemp,minTemp,humidityPercent
2025-06-01,82,65,55
2025-06-02,84,66,57
2025-06-03,86,67,58
2025-06-04,88,68,60
2025-06-05,90,69,62
2025-06-06,92,70,63
2025-06-07,89,68,59
2025-06-08,87,67,58
2025-06-09,85,66,56
2025-06-10,83,65,54

2025-07-01,90,71,60
2025-07-02,92,72,61
2025-07-03,94,73,63
2025-07-04,96,74,65
2025-07-05,98,75,67
2025-07-06,100,76,69
2025-07-07,101,77,70
2025-07-08,99,76,68
2025-07-09,97,75,66
2025-07-10,95,73,64

2025-08-01,93,74,65
2025-08-02,95,75,67
2025-08-03,97,76,69
2025-08-04,99,77,70
2025-08-05,101,78,72
2025-08-06,103,79,73
2025-08-07,104,80,74
2025-08-08,102,79,72
2025-08-09,99,77,70
2025-08-10,96,75,68

2025-10-01,88,68,60
2025-10-02,90,70,62
2025-10-03,92,72,65
2025-10-04,95,75,68
2025-10-05,97,76,70
2025-10-06,99,78,72
2025-10-07,101,79,74
2025-10-08,96,74,69
2025-10-09,93,71,66
2025-10-10,89,69,63
2025-10-11,91,70,64
2025-10-12,94,73,67
2025-10-13,98,76,71
2025-10-14,100,77,73
2025-10-15,102,78,75
2025-10-16,97,75,70
2025-10-17,92,72,65
2025-10-18,90,70,63
2025-10-19,88,68,60
2025-10-20,95,74,68
